0,418125 | [TestNr=151; FreqBandWidth=7; ValueThreshold=0,4; MaxSquaredError=0,06];
0,4178125 | [TestNr=152; FreqBandWidth=7; ValueThreshold=0,4; MaxSquaredError=0,1];
0,343125 | [TestNr=153; FreqBandWidth=7; ValueThreshold=0,4; MaxSquaredError=0,2];
0,3840625 | [TestNr=154; FreqBandWidth=7; ValueThreshold=0,4; MaxSquaredError=0,3];
0,4265625 | [TestNr=155; FreqBandWidth=8; ValueThreshold=0,0001; MaxSquaredError=1E-05];
0,4265625 | [TestNr=156; FreqBandWidth=8; ValueThreshold=0,0001; MaxSquaredError=0,0001];
0,4521875 | [TestNr=157; FreqBandWidth=8; ValueThreshold=0,0001; MaxSquaredError=0,001];
0,5346875 | [TestNr=158; FreqBandWidth=8; ValueThreshold=0,0001; MaxSquaredError=0,003];
0,5428125 | [TestNr=159; FreqBandWidth=8; ValueThreshold=0,0001; MaxSquaredError=0,006];
0,5046875 | [TestNr=160; FreqBandWidth=8; ValueThreshold=0,0001; MaxSquaredError=0,01];
0,515 | [TestNr=161; FreqBandWidth=8; ValueThreshold=0,0001; MaxSquaredError=0,02];
0,46125 | [TestNr=162; FreqBandWidth=8; ValueThreshold=0,0001; MaxSquaredError=0,03];
0,5196875 | [TestNr=163; FreqBandWidth=8; ValueThreshold=0,0001; MaxSquaredError=0,04];
0,5515625 | [TestNr=164; FreqBandWidth=8; ValueThreshold=0,0001; MaxSquaredError=0,05];
0,506875 | [TestNr=165; FreqBandWidth=8; ValueThreshold=0,0001; MaxSquaredError=0,06];
0,436875 | [TestNr=166; FreqBandWidth=8; ValueThreshold=0,0001; MaxSquaredError=0,1];
0,39625 | [TestNr=167; FreqBandWidth=8; ValueThreshold=0,0001; MaxSquaredError=0,2];
0,544375 | [TestNr=168; FreqBandWidth=8; ValueThreshold=0,0001; MaxSquaredError=0,3];
0,4265625 | [TestNr=169; FreqBandWidth=8; ValueThreshold=0,0005; MaxSquaredError=1E-05];
0,4265625 | [TestNr=170; FreqBandWidth=8; ValueThreshold=0,0005; MaxSquaredError=0,0001];
0,4521875 | [TestNr=171; FreqBandWidth=8; ValueThreshold=0,0005; MaxSquaredError=0,001];
0,5346875 | [TestNr=172; FreqBandWidth=8; ValueThreshold=0,0005; MaxSquaredError=0,003];
0,5428125 | [TestNr=173; FreqBandWidth=8; ValueThreshold=0,0005; MaxSquaredError=0,006];
0,5084375 | [TestNr=174; FreqBandWidth=8; ValueThreshold=0,0005; MaxSquaredError=0,01];
0,5021875 | [TestNr=175; FreqBandWidth=8; ValueThreshold=0,0005; MaxSquaredError=0,02];
